Spotify Premium,Spotify Free,YouTube Free,YouTube Premium,Apple Music,Amazon Music,Others,PE1,PE2,PE3,PE4,PE5,EE1,EE2,EE3,PV1,PV2,PV3,PF1,PF2,PF3,SM1,SM2,SL1,SL2,PG1,PG2,PG3,VM1,VM2,VM3,FT1,FT2,FT3,MH1,MH2,MH3,MH4,MH5,Room_for_enhancement,Age,Gender,Employment status,Household_income
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,,18 - 24,Female,Student not employed,"£20,000 or Less"
Very Frequently,Occasionally,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,18 - 24,Male,Employed part time,"£20,000 or Less"
Very Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat disagree,,18 - 24,Male,Employed Full Time,"£20,000 or Less"
Never or Almost Never,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Disagree,Somewhat agree,,25 - 34,Female,Employed Full Time,"£20,001 - £40,000"
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,,18 - 24,Female,Student not employed,
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Frequently,Never or Almost Never,Never or Almost Never,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,,18 - 24,Female,Student not employed,"£20,001 - £40,000"
Never or Almost Never,Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,25 - 34,Male,Employed Full Time,
Never or Almost Never,Occasionally,Never or Almost Never,Frequently,Never or Almost Never,Frequently,Very Frequently,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,,25 - 34,Male,Employed part time,
Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Occasionally,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,25 - 34,Male,Employed Full Time,"£20,001 - £40,000"
Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Yes. In terms of bringing more regional and local artists to the forefront ,18 - 24,Female,Student not employed,
Very Frequently,Occasionally,Occasionally,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,25 - 34,Male,Student & employed,"£20,001 - £40,000"
Never or Almost Never,Never or Almost Never,Regularly,Regularly,Very Frequently,Never or Almost Never,Never or Almost Never,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,
Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,,,,
Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,,
Never or Almost Never,Very Frequently,Very Frequently,Occasionally,Never or Almost Never,Occasionally,Never or Almost Never,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Occasionally,Never or Almost Never,Occasionally,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,,,
Regularly,Never or Almost Never,Regularly,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,,25 - 34,Male,Employed part time,
Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Very Frequently,Occasionally,Never or Almost Never,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,,,,,
Frequently,Occasionally,Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,25 - 34,Male,Employed Full Time,"£20,001 - £40,000"
Frequently,Occasionally,Occasionally,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,
Never or Almost Never,Never or Almost Never,Regularly,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
Very Frequently,Occasionally,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,,
Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,,,,,
Very Frequently,Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,,Under 18,Male,Student not employed,
Very Frequently,Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Very Frequently,Never or Almost Never,Regularly,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,,,,,
Frequently,Never or Almost Never,Frequently,Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
Never or Almost Never,Never or Almost Never,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly disagree,,18 - 24,Male,Student not employed,"£20,001 - £40,000"
Frequently,Occasionally,Frequently,Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,,,
Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,,
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
Never or Almost Never,Regularly,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,I would feel better using music streaming services if I knew that they paid the artists better,18 - 24,Female,Student & employed,
Never or Almost Never,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,
Never or Almost Never,Very Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,,18 - 24,Male,Student not employed,
Very Frequently,Never or Almost Never,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,,18 - 24,Male,Student & employed,"£20,001 - £40,000"
Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,No,35 - 44,Female,Student & employed,"£40,001 - £60,000"
Regularly,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Streaming services have ruined music. The experience of own a disc or a compact disc with the booklet and the satisfaction of having a physical music library is priceless,25 - 34,Male,Student & employed,"£20,000 or Less"
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Female,Employed part time,
Never or Almost Never,Occasionally,Very Frequently,Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,18 - 24,Male,Employed part time,"£20,000 or Less"
Never or Almost Never,Never or Almost Never,Regularly,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Male,Employed Full Time,"£20,000 or Less"
Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,,,,,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,"Though there are a million songs on a platform, there are definitely songs that aren't up on there, especially older songs, increasing the number of songs by including those definitely be a strong add-on to whatever is already there",18 - 24,Female,Student not employed,
Very Frequently,Never or Almost Never,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Give an option to skip all type of advertisements,25 - 34,Male,Employed Full Time,"£20,000 or Less"
Very Frequently,Occasionally,Regularly,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Nothing really. This might sound far fetched but I listen to a lot of k-pop. It'll be nice if Spotify could have English lyrics for Korean songs apart from Korean lyrics.,18 - 24,Female,Employed Full Time,"£20,000 or Less"
Very Frequently,Occasionally,Regularly,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Nothing specifically ,25 - 34,Female,Employed Full Time,
